,0
0,0.26
1,0.405
2,0.41
3,0.4
4,0.395
5,0.41
6,0.435
7,0.415
8,0.43
9,0.42
10,0.42
11,0.425
12,0.43
13,0.425
14,0.425
15,0.42
16,0.435
17,0.435
18,0.445
19,0.425
20,0.435
21,0.445
22,0.435
23,0.42
24,0.435
25,0.43
26,0.42
27,0.43
28,0.425
29,0.415
30,0.435
31,0.43
32,0.425
33,0.42
34,0.43
35,0.425
36,0.425
37,0.43
38,0.405
39,0.415
40,0.425
41,0.415
42,0.43
43,0.415
44,0.41
45,0.425
46,0.415
47,0.43
48,0.425
49,0.375
50,0.375
51,0.42
52,0.405
53,0.42
54,0.415
55,0.415
56,0.42
57,0.42
58,0.425
59,0.425
60,0.425
61,0.43
