,0,1
0,Quick reduction of symptoms,9
1,This is a waste of money.  Did not curb my appetite nor did it make me feel full.,1
2,"No problems, watch what you eat.",10
3,"This medication helped me  sleep, but eventually it became ineffective as a sleep aid. It also helps me calm down when in severe stress, anxiety, or panic.",6
4,"After just 1 dose of this ciprofloxacn, I felt 99% better.",10
5,They didn&#039;t help my dry eyes at all.,1
6,klonopin has definitely given me my life back!,10
7,Worked quickly and well. I learned by trial that trimming/filing away dead pieces of nail once a week when removing is key for it to work.,8
8,Have had back and leg pain and sometimes arm pain.,5
9,Works for me,6
10,Geodon is a very effective drug for me.  Completely wiped out the auditory hallucinations.,10
11,Started out yesterday at 242 and this morning I was only 239.6 not hungry at all,10
12,Was very beneficial when taken with a muscle relaxer for extreme pain in neck and arm. I was also taking Naproxen.,8
13,"I read so many bad experiences and horror stories about this pill, I was terrified. I am now on my second week of Aviane and have no symptoms.",10
14,Horrible,1
15,Celebrex did nothing for my pain.,1
16,General tiredness with the medication but no manic episodes. I guess the trade-off is fair.,8
17,I take 400 mg a day and it helps.,8
18,"BC from below. Rapid weight gain, swelling and bad cycle. Don&#039;t recommend",1
19,Very good for GAD mixed with depression. I felt worse for 2 months but then felt amazing :) give it a chance,10
20,This medication does not relieve eve the slightest pain.,1
21,"I am taking 1/2 pill twice a day (5mg total) with Fortamet, the difference is amazing!",9
22,No terrible side effects a side from severe headaches when I miss a dose. Completely regulated my anxiety and mood.,8
23,"Have developed visual problems, thinning hair on top of my head, insomnia, and loss of sexual interest.",3
24,Worked to begin with and then after a while stopped working,3
25,"I got this medicine last month, and am now start to getting good results.",9
26,Effective in reducing discomfort,9
27,This drug saved my life and my marriage!,10
28,This is a great medication with no side effects.,9
29,Great experience with Femring and it&#039;s the only hormone replacement that works for me. Wishing it was not so expensive.,10
30,Saved my life.,10
31,Started a week ago and haven&#039;t had a panic attack or episode since,9
32,THIS medicine works.,10
33,swelling of tissue above eyelids,4
34,Was one of the only medicines that worked for my pneumonia. It was administered via IV for 3 weeks 2x a day but it worked.,9
35,"This medicine worked for me except the side effect of swelling feet and ankles, and pain in the ankles. I stopped the medicine on my own due to the swelling.",7
36,"My 11 month old was treated with Omnicef for ear infection but it did not work.  No side effects, just ineffective for her.",1
37,"A week into taking this medication I was vomiting, couldn&#039;t sleep, dizzy, water blisters, falling, sense of daydreaming",4
38,Made a big difference in my hip and knee pain,9
39,Do not take this if pill but  if you do take just one!,10
40,These are all  fake commants for sure,1
41,LOVE IT! No complaints.,10
42,Definitely a lot less overall body pain. A little dizzy and sleep but benefits outweigh the side effects.,9
43,I was in the hospital for intense vomiting and stomach pain. They gave me this drug and I felt better within 2 minutes.,10
44,"I was just diagnosed with Achilles tendinitis. I was just prescribed Medrol, feeling a little better.",7
45,It works well without side effects.,9
46,"This medicine is great, our patients no longer have to worry about if they miss a dose because it&#039;s taken once a day.",10
47,This drug is amazing. I lost 20lbs in 2 months.,10
48,This is a good medicine.,10
49,I didn&#039;t felt any better after I took it.,1
50,"As far as a drug that needs to be infused, it is about as easy as it can be to do.",10
51,Simply put Lamictal saved my life and NO side effects either.,10
52,It works if you take it over a month but do follow instructions on the bottle about how you are supposed to take.,7
53,"Did not help much with my Crohn&#039;s, but less side effects than others.",2
54,Works great to prevent migraines.,10
55,This gave me headaches all the time. Stopped taking it and have been headache free !,1
56,Recurrence of HER2  cancer.  Hip and hand problems. Horrible insomnia and memory issued. But does help hold the cancer back.,9
57,I took this medicine for migraine and nerve pain. I had to stop taking because it caused very bad cotton mouth and constipation.,6
58,I have mood swings and had 8 months non-stop spotting with  loss of sex drive all together.,2
59,Very effective for fibromyalgia pain. Does not help with fatigue.,9
60,this med. works great!!!!,9
61,IT works like a charm. I took two pills last night and I was able to sleep without discomfort.  I really recommend.  I bought the Uricalm MAX .,9
62,The first time I ever tried the one day ovule my woo ha was on fire,6
63,This drug heaedl my acute sinus infection after a week. I believe it is stronger than Co Amoxiclav.,9
64,Became ineffective within six months and developed an allergic irritance with it.,2
65,I have only been taking citalopram for one day and I already feel a sense of calming.  Also alot of jaw clenching.,9
66,Have been taking 2 dosage of indomethacin 25 mg for over 4 months now. This is the only medicine which has worked on my headaches.,9
67,I&#039;ve been on it for 5 years and my life is a lot different then it would have been without it!,9
68,Helped decrease my headache/migraine. Received a shot of this medication.,9
69,"Don&#039;t sip it, don&#039;t taste it, just drink it fast, cold.
It works within 30 minutes",7
70,Horrible!!!  wouldnt recommend to anybody,1
71,Very helpful for muscle aches and pains.  Cannot function without it.,9
72,"Helped with RA  It has affected my vision immensely.  So much, that I stopped taking it.",3
73,I like it,5
74,"From the first day I started VesiCare, my urges stopped.  I&#039;m now able to get to the bathroom without accidents.",8
75,"Improves my mood, less stressed but nauseous and sweaty.",6
76,"Had a severe reaction, my tendons swelled up.",1
77,Norco works great for me and has for several years. I crushed my ankle over 10 years ago and the pain can be overwhelming. ,8
78,"I gained a lot of weight and had a significant increase in headaches. It left me feeling moody, tired and unbalanced.",2
79,Ended up in ER for falling on concrete reason dizziness and drop in red blood cell and more.,1
80,Vicodin was prescribed for my shoulder pain. After taking the medicine for 3 days without relief of my shoulder pain I quit taking the medicine.,3
81,"Didn&#039;t help, just made me tired.",1
82,Over priced for what is essentially 4 Advil with a Pepcid.,4
83,"Worst akathesia - anxiety, very hyper, pacing, tachycardia.",1
84,No side effects.,8
85,Day 4. No side effects and no reduction in cravings.,5
86,Luvox made my teeth hurt.  Absolutely no effect on my mood. ,1
87,Has not worked one bit still have day and night sweats occurring every hour,1
88,Minimal positive effects.  Did have less weight gain on this then amitriptyline.  Not a miracle by any means.  Did experience negative emotional effects on this medication.,3
89,I take it around 10 pm and I don&#039;t sleep till around 4 pm,3
