,0,1
0,Great for COPD patients.,UNK
1,Easy.  Fast.  No problems.,UNK
2,Worked great.,UNK
3,"Works great if taken more than ten minutes before eating. Saved my life, had not eaten solid food for 2 years.",UNK
4,"As an injection in the ER, it did its job quite well.",UNK
5,"I perforated a stomach ulcer, at age of only 33 y/o, and Protonix saved my life (after emergency surgery). ;-)",UNK
6,I have minimal side effects and my sugar levels went down.,UNK
7,I finally got the relief otc products couldn&#039;t give me,UNK
8,Best keep Secret!!,UNK
9,"Taken exactly as directed, worked wonders for colonoscopy prep.",UNK
10,This is the only medicine in 3yrs of having Occipital Neuralgia that REALLY WORKS!!!,UNK
11,Works consistently... when other nausea medicines didnt work at all.,UNK
12,Love them they take anxiety and the bipolar away and I can finally sleep.,UNK
13,Good prenatal vitamin for my pregnancy.,UNK
14,"Very quick, very fast. Great if you are stuck in a tight situation and you are getting breezy.",UNK
15,It helped me a lot. One pill and I sleep like a baby.,UNK
16,Within just a few days I began to feel so much better.  Highly recommended,UNK
17,I feel more energetic and can focus more the first 2 weeks of injection.,UNK
18,This is the first medicine I&#039;ve taken that doesn&#039;t make me feel medicated.,UNK
19,I just started the patch and I take it with vitamins. Maybe trying this way is more successful.,UNK
20,great product no acne or wrinkles,UNK
21,"It was great, take it at night though to avoid stomach trouble. But it worked great no acne or bleeding.",UNK
22,"I have had trouble falling asleep and staying asleep for a long time, but with 3 mg of melatonin I fall asleep fast and stay asleep which is very nice.",UNK
23,Been on this for several years and it works very well for my post traumatic stress disorder.,UNK
24,"Dead tornail started falling off after 4 weeks.  

",UNK
25,"Wonderful, very quick acting (like, two hours), so watch out for that.  Solves the problem when all else fails.  Expensive.",UNK
26,Never burned or itched. Worked quickly. Would use again.,UNK
27,It worked after some time,UNK
28,"Remeron helps my depression, sleeplessness, and anxiety. All 3 in 1. I love it!",UNK
29,Fiorinal is the ONLY pain medicine that will help my headache to any degree of satisfaction.  Thanking God for it.,UNK
30,When everything else stopped working this did the trick. I can live again without being in pain.,UNK
31,This will knock you out.,UNK
32,I have been on qsymia since 7/20/16 &amp; I have lost 48 lbs!!!! I have had little to no side effects.,UNK
33,Wonderful medicine: a miracle for bad headaches.,UNK
34,"Works great on my nerve pains, due to diabetes.",UNK
35,I have tried many cholesterol lowering drugs. Crestor has been the most effective. It is the first one to bring my level under 200.,UNK
36,Elmiron reurned me To th,UNK
37,I have been taking Lipitor for 8 years now with no problems whatsoever.,UNK
38,Have tried several different brands before Aciphex.  I love it. I have not had heartburn in 5 months.  Unbelievable.,UNK
39,"I have been on this since 1995. It has been great for me, with no problems.",UNK
40,This worked better than Lipitor.  I changed due to cost and my blood work is beyond excellent.  I&#039;ve had no adverse side effects. ,UNK
41,It seems to do a great job for migraines and bipolar disorder at 120 mg. I won&#039;t stop it.,UNK
42,I also take Klonopin for Bipolar and Panic Disorders.,UNK
43,It works for me - long story short I&#039;m going for my second shot on the 21st of this month,UNK
