Category	Value
0:00	So there is no way for me to plug it in here in the US unless I go by a converter.
1:01	"Good case, Excellent value."
1:01	Great for the jawbone.
0:00	Tied to charger for conversations lasting more than 45 minutes.MAJOR PROBLEMS!!
1:01	The mic is great.
0:00	I have to jiggle the plug to get it to line up right to get decent volume.
0:00	"If you have several dozen or several hundred contacts, then imagine the fun of sending each of them one by one."
1:01	If you are Razr owner...you must have this!
0:00	"Needless to say, I wasted my money."
0:00	What a waste of money and time!.
1:01	And the sound quality is great.
1:01	He was very impressed when going from the original battery to the extended battery.
0:00	If the two were seperated by a mere 5+ ft I started to notice excessive static and garbled sound from the headset.
1:01	Very good quality though
0:00	"The design is very odd, as the ear ""clip"" is not very comfortable at all."
1:01	Highly recommend for any one who has a blue tooth phone.
0:00	I advise EVERYONE DO NOT BE FOOLED!
1:01	So Far So Good!.
1:01	Works great!.
0:00	It clicks into place in a way that makes you wonder how long that mechanism would last.
0:00	"I went on Motorola's website and followed all directions, but could not get it to pair again."
1:01	I bought this to use with my Kindle Fire and absolutely loved it!
0:00	The commercials are the most misleading.
1:01	I have yet to run this new battery below two bars and that's three days without charging.
0:00	I bought it for my mother and she had a problem with the battery.
1:01	Great Pocket PC / phone combination.
1:01	I've owned this phone for 7 months now and can say that it's the best mobile phone I've had.
0:00	I didn't think that the instructions provided were helpful to me.
0:00	People couldnt hear me talk and I had to pull out the earphone and talk on the phone.
0:00	Doesn't hold charge.
0:00	"This is a simple little phone to use, but the breakage is unacceptible."
1:01	This product is ideal for people like me whose ears are very sensitive.
0:00	It is unusable in a moving car at freeway speed.
0:00	I have two more years left in this contract and I hate this phone.
1:01	Car charger as well as AC charger are included to make sure you never run out of juice.Highy recommended
0:00	You need at least 3 mins to get to your phone book from the time you first turn on the phone.Battery life is short.
1:01	It has kept up very well.
0:00	Poor Talk Time Performance.
1:01	The case is great and works fine with the 680.
0:00	worthless product.
1:01	"It has a great camera thats 2MP, and the pics are nice and clear with great picture quality."
0:00	I was not impressed by this product.
1:01	Nice headset priced right.
0:00	I only hear garbage for audio.
1:01	Excellent bluetooth headset.
1:01	It has all the features I want
0:00	Who in their right mind is gonna buy this battery?.
0:00	AFTER ARGUING WITH VERIZON REGARDING THE DROPPED CALLS WE RETURNED THE PHONES AFTER TWO DAYS.
1:01	This case seems well made.
0:00	Disappointed with battery.
0:00	Not loud enough and doesn't turn on like it should.
1:01	good protection and does not make phone too bulky.
1:01	A usable keyboard actually turns a PDA into a real-world useful machine instead of just a neat gadget.
1:01	This phone is pretty sturdy and I've never had any large problems with it.
1:01	I love this thing!
1:01	Everything about it is fine and reasonable for the price i.e.
0:00	VERY DISAPPOINTED.
1:01	I even dropped this phone into a stream and it was submerged for 15 seconds and it still works great!
1:01	I have been very happy with the 510 and have had NO complaints from any one regarding my sound quality on their end.
0:00	The buttons for on and off are bad.
0:00	Essentially you can forget Microsoft's tech support.
1:01	"I really recommend this faceplates since it looks very nice, elegant and cool."
1:01	These headphones were a great find - and I think they are perhaps the best purchase I've made in the last several years - seriously.
0:00	Buy a different phone - but not this.
0:00	You have to hold the phone at a particular angle for the other party to hear you clearly.
0:00	The one big drawback of the MP3 player is that the buttons on the phone's front cover that let you pause and skip songs lock out after a few seconds.
0:00	"A week later after I activated it, it suddenly died."
1:01	It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.
1:01	Great for iPODs too.
1:01	This device is great in several situations:1.)
0:00	Mic Doesn't work.
0:00	"Even in my BMW 3 series which is fairly quiet, I have trouble hearing what the other person is saying."
1:01	Great choice!
1:01	Nice docking station for home or work.
1:01	This is a beautiful phone.
1:01	Love this product.
0:00	Do Not Buy for D807...wrongly advertised for D807.
1:01	This is a great little item.
1:01	"I love this phone , It is very handy and has a lot of features ."
0:00	I purchased this and within 2 days it was no longer working!!!!!!!!!
1:01	I wear it everyday and it holds up very well.
0:00	Not a good bargain.
1:01	"Well packaged, arrived on time, and works as intended."
0:00	The battery runs down quickly.
0:00	"This item worked great, but it broke after 6 months of use."
1:01	The headsets are easy to use and everyone loves them.
1:01	This phone works great.
0:00	The construction of the headsets is poor.
1:01	Product was excellent and works better than the verizon one and Boy was it cheaper!
1:01	The phone loads super!
0:00	"For a product that costs as much as this one does, I expect it to work far better and with greater ease than this thing does."
1:01	Made very sturdy.
1:01	Worked great!.
0:00	The ear buds only play music in one ear.
0:00	Dont waste your money...
1:01	Will order from them again!
0:00	If you plan to use this in a car forget about it.
0:00	I found this product to be waaay too big.
1:01	Best I've found so far .... I've tried 2 other bluetooths and this one has the best quality (for both me and the listener) as well as ease of using.
