,text,sentiment
0,*****Warning: May contain SPOILERS********* My HUGE problem with this movie is how totally self-centered and self consumed the adulteress wife is!! After having a one night stand with a slimy psycho she is being stalked by him. He calls her constantly and threatens her and even sends a video of their night together. He is OBVIOUSLY crazy and very dangerous. The problem is she only thinks he is dangerous to HER (and exposing her secret). Not for one second did she ever have one thought of concern for her husband! Did she even for a moment think of him possibly being in danger from this psychotic?? As soon as she realized how mental he was she should have warned her husband no matter what the consequences. Maybe there wouldn't have been a movie then but there really wasn't one anyway so what's the difference.,1
1,"He really lost the plot with this one! None of his distinctive trademarks here at all, an uninteresting plot and completely terrible acting make this his worst film (in my opinion). Even his trademark gore is gone, bar one scene in an operating theatre. Oh well, at least his next film 'Nightmare Concert' showed that he could still shock when he wanted to...",1
2,"Hello everyone, This is my first time posting and I just love the movie No child of mine and I could watch it over and over!! well I taped it a long time ago like a few years ago and I dropped it and broke it and I haven't seen it in a few years!! could any one please tell me when it will come on again!! I would really appreciate it alot!!You can email me if you want to cause that is my favorite movie of all including Empty Cradle to and if anyone knows when that comes on to PLEASE let me know,I would really appreciate it ALOT!!!  ",0
3,"On his birthday a small boys tells his mother he is not her son, and that he wants to go home to his real mother.  In some ways Comedy De L'Innocence feels like it comes from a different time of movie-making, perhaps the 60's or 70's. Certainly it reminded me of Losey's Secret Ceremony (1968), and Richard Loncraine's Full Circle (1977), both of which deal with loss, grief and relationships between parents and 'lost' children (curiously both films star Mia Farrow).  All three films are populated with unsympathetic characters who behave in strange and unexplained ways. All three films have a chilly feel, both emotionally and literally. All three films focus on mother-child relationships, and ultimately all three films pose the question - 'what is real, what is imagined?'   Beautiful but flawed, it offers no easy answers and leaves much hanging, unexplained and strange.",1
4,"I love this show as it action packed with adventure, love and intrigue. Well some times love! It's so good see a show where all the characters work well together and they treat each other with respect. It's also very good to se Dick Van Dyke in a television role as I have only seen him in Mary Poppins. the mixture of the main characters, Mark, Amanda, Jesse and Steve is very capturing to the audience. This is a show you have to watch!",0
5,"Well its about time. I had really given up any and all hope that there was going to be a standout episode among this season's entries. While there have still been far too many drab to hohum entries, at least this episode turned out well. Its rather funny that director Rob Schmidt who only has the not bad Wrong Turn to his credit and writer John Esposito whose only scripting chores to date have included Tale Of The Mummy and Graveyard Shift should be the ones to give us the best written and most thought provoking episode of the season. In ""Right To Die"" we are treated to the story of Cliff and Abbey. At the start of the episode the couple are having a conversation. Abbey has caught Cliff cheating and he is desperately trying to win her back. While they speak, they find themselves in a car accident where Cliff is left with only scratches and bruises, but Abbey is thrown from the car and catches on fire when a spark ignites and gasoline that had dripped onto her catches her on fire. And this is just the setup people. Once in the hospital Cliff must decide whether or not Abbey should live in this state with no skin and only nerve reflexes. There's also a side effect too. Every time she flatlines, Abbey goes a walking as a ghost and causes trouble for all sorts of people. Hands down this is the best episode of the season and certainly ranks as one of the top episodes ever. From the gruesome effects to the taut script which threw in a few twists I never saw coming and suspense so palpable you can almost touch it, Right To Die should have the right to go on living forever.",0
6,"Such a long awaited movie.. But it has disappointed me and my friends who had gone to see the movie on the first day.. From the trailers it looked like a action movie, but it turned out to be a out & out comedy(a bad comedy). But one thing that deserves appreciation is the acting by these professional actors, they've done their part of the movie very well. Good acting, but i don't think that can save the movie.. India has been shot beautifully. Kerala, Rajasthan, (Ladakh?) were all saturated with color, alright. Nevertheless the way the intrinsic beauty of these places was shot made me want to find out exactly where those places were and when I could go there ;-)  Action sequences were shot very shabbily, no one could make out head & tail of the stunts, they've used Akki(akshay kumar) very well but could've been done much much better..  Animation is the worst i've seen in recent movies(90's movies had better animation scenes i guess(initial scene where the car is falling off 'flying should be better word' the road into lake).  And the movies name has been mentioned nearly every 20 to 30 mins, just to make sure audiences don't forget the movie name i guess..",1
7,"This movie is trash-poor. It has horrible taste, and is pedestrian and unconvincing in script although supposedly based on real-events - which doesn't add much of anything but make it more of a disappointment. Direction is not well done at as scenes and dialogue are out-of-place. Not sure what Robin Williams saw in this character or story. To start, Williams is not convincing as a gay in a relationship breakup nor is the relationship itself interesting. What's worse, his character is compelled by an ugly pedophile story that is base and has no place as a plot device. You have an older Rory Culkin tastelessly spouting ""d_ck_smker"" - in good fun- which is annoying enough and then laughed up by the Williams character. Finally you have Sandra Oh as a guardian angel adviser to Williams and a thrown in explanation of the whole fiasco towards the end. Toni Collete's character is just plain annoying and a re-hash of her 6th Sense performance with poorer direction. Very Miss-able.",1
8,"I sat glued to the screen, riveted, yawning, yet keeping an attentive eye. I waited for the next awful special effect, or the next ridiculously clichéd plot item to show up full force, so I could learn how not to make a movie.  It seems when they set out to make this movie, the crew watched every single other action/science-fiction/shoot-em-up/good vs. evil movie ever made, and saw cool things and said: ""Hey, we can do that."" For example, the only car parked within a mile on what seems like a one way road with a shoulder not meant for parking, is the one car the protagonist, an attractive brunette born of bile, is thrown on to. The car blows to pieces before she even lands on it. The special effects were quite obviously my biggest beef with this movie. But what really put it in my bad books was the implausibility, and lack of reason for so many elements! For example, the antagonist, a flying demon with the ability to inflict harm in bizarre ways, happens upon a lone army truck transporting an important VIP. Nameless security guys with guns get out of the truck, you know they are already dead. Then the guy protecting the VIP says ""Under no circumstances do you leave this truck, do you understand me?"" He gets out to find the beast that killed his 3 buddies, he gets whacked in an almost comically cliché fashion. Then for no apparent reason, defying logic, convention, and common sense, the dumb ass VIP GETS OUT OF THE TRUCK!!! A lot of what happened along the course of the movie didn't make sense. Transparent acting distanced me from the movie, as well as bad camera-work, and things that just make you go: ""Wow, that's incredibly cheesy."" Shiri Appleby saved the movie from a 1, because she gave the movie the one element that always makes viewers enjoy the experience, sex appeal.",1
9,"The first hour of the movie was boring as hell. There is no suspense, no action, not even a plot. The movie went no where. I mean they could have made the movie in 15 min short film. Overall, the movie wasn't good at all, and I don't recommend it.",1
