,0
0,0.2175
1,0.3675
2,0.43
3,0.435
4,0.4625
5,0.4525
6,0.4575
7,0.455
8,0.45
9,0.4825
10,0.4725
11,0.465
12,0.47
13,0.4725
14,0.4575
15,0.4625
16,0.48
17,0.45
18,0.4625
19,0.45
20,0.4425
21,0.4525
22,0.4425
23,0.4525
24,0.455
25,0.4625
26,0.4625
27,0.465
28,0.47
29,0.46
30,0.4625
31,0.465
32,0.49
33,0.49
34,0.48
35,0.4725
36,0.4675
37,0.4875
38,0.475
39,0.4925
40,0.4925
41,0.4775
42,0.4825
43,0.4775
44,0.465
45,0.4725
46,0.47
47,0.4775
48,0.495
49,0.4775
50,0.48
51,0.485
52,0.4775
53,0.49
54,0.4825
55,0.48
56,0.4675
57,0.47
58,0.4775
59,0.47
60,0.4575
61,0.47
62,0.4875
63,0.4725
64,0.475
65,0.475
66,0.4625
67,0.465
68,0.48
69,0.49
70,0.4575
71,0.4675
72,0.4675
73,0.49
74,0.42
75,0.4675
76,0.465
77,0.475
78,0.465
79,0.4875
80,0.4775
81,0.4775
82,0.465
83,0.4775
84,0.48
85,0.4725
86,0.48
87,0.475
88,0.485
89,0.4775
90,0.475
91,0.485
92,0.465
93,0.46
94,0.455
95,0.47
96,0.455
97,0.44
98,0.45
99,0.46
100,0.4475
101,0.475
102,0.465
103,0.465
104,0.46
105,0.4675
106,0.4625
107,0.445
108,0.45
109,0.4675
110,0.4475
111,0.455
112,0.4525
113,0.445
114,0.455
115,0.47
116,0.47
117,0.465
118,0.445
119,0.46
120,0.4475
121,0.4725
122,0.4625
123,0.465
124,0.455
125,0.46
126,0.4675
127,0.45
128,0.4625
129,0.4575
130,0.455
131,0.45
132,0.4425
133,0.45
134,0.465
135,0.46
136,0.4675
137,0.465
138,0.4625
139,0.4625
140,0.465
141,0.4675
142,0.4675
143,0.47
144,0.4725
145,0.4675
146,0.4725
147,0.47
148,0.4675
149,0.465
150,0.47
151,0.4725
152,0.4675
153,0.465
154,0.4675
155,0.47
156,0.4775
157,0.4725
158,0.4775
159,0.47
160,0.475
161,0.4825
162,0.48
163,0.485
164,0.4775
165,0.4675
166,0.4625
167,0.475
168,0.4725
169,0.4675
170,0.475
171,0.49
172,0.4875
173,0.485
174,0.485
175,0.4775
176,0.48
177,0.475
178,0.4775
179,0.4925
180,0.475
181,0.47
182,0.4775
183,0.48
184,0.4775
185,0.48
186,0.455
187,0.47
188,0.49
189,0.49
190,0.4825
191,0.49
192,0.48
193,0.4775
194,0.47
195,0.4775
196,0.475
197,0.4775
198,0.4675
199,0.4825
