,0
0,0.225
1,0.4125
2,0.45
3,0.445
4,0.4625
5,0.475
6,0.48
7,0.48
8,0.4775
9,0.4625
10,0.47
11,0.4775
12,0.4925
13,0.4775
14,0.495
15,0.4775
16,0.495
17,0.4775
18,0.485
19,0.4775
20,0.505
21,0.495
22,0.5025
23,0.505
24,0.49
25,0.49
26,0.485
27,0.4875
28,0.4725
29,0.475
30,0.485
31,0.485
32,0.485
33,0.475
34,0.4875
35,0.47
36,0.4925
37,0.4825
38,0.485
39,0.48
40,0.48
41,0.495
42,0.5075
43,0.4875
44,0.485
45,0.495
46,0.5
47,0.4875
48,0.4975
49,0.475
50,0.4975
51,0.485
52,0.4725
53,0.4975
54,0.4825
55,0.51
56,0.49
57,0.49
58,0.4875
59,0.5025
60,0.5075
61,0.5025
62,0.5025
63,0.5
64,0.4975
65,0.4775
66,0.49
67,0.4975
68,0.495
69,0.495
70,0.5025
71,0.4875
72,0.49
73,0.4925
74,0.475
75,0.45
76,0.49
77,0.4875
78,0.4975
79,0.5025
80,0.505
81,0.505
82,0.5
83,0.5
84,0.5025
85,0.505
86,0.515
87,0.5025
88,0.5025
89,0.5
90,0.5
91,0.515
92,0.4975
93,0.5025
94,0.49
95,0.4975
96,0.495
97,0.4825
98,0.5075
99,0.495
100,0.49
101,0.49
102,0.49
103,0.495
104,0.495
105,0.495
106,0.5
107,0.4825
108,0.48
109,0.48
110,0.475
111,0.4775
112,0.4825
113,0.49
114,0.4825
115,0.495
116,0.4975
117,0.465
118,0.4975
119,0.4975
120,0.49
121,0.49
122,0.4925
123,0.44
124,0.4775
125,0.46
126,0.47
127,0.4725
128,0.475
129,0.4725
130,0.4675
131,0.465
132,0.48
133,0.4725
134,0.4825
135,0.4775
136,0.485
137,0.4925
138,0.485
139,0.47
140,0.47
141,0.4675
142,0.485
143,0.4925
144,0.4925
145,0.4575
146,0.4625
147,0.455
148,0.475
149,0.47
150,0.485
151,0.4825
152,0.4875
153,0.4775
154,0.4925
155,0.4875
156,0.49
157,0.4825
158,0.485
159,0.4975
160,0.4975
161,0.5075
162,0.49
163,0.4875
164,0.47
165,0.495
166,0.465
167,0.475
168,0.4925
169,0.495
170,0.4875
171,0.48
172,0.48
173,0.4775
174,0.4825
175,0.475
176,0.4725
177,0.47
178,0.48
179,0.495
180,0.485
181,0.4825
182,0.475
183,0.485
184,0.4925
185,0.4875
186,0.48
187,0.49
188,0.49
189,0.4925
190,0.485
191,0.4675
192,0.47
193,0.4825
194,0.485
195,0.4825
196,0.4775
197,0.4925
198,0.4875
199,0.48
