,0,1
0,OOPS! To correct my review they are non-HPP! Important part not to leave out!,5
1,best pizza we have had in a long time! highly recommended. opens at 10am,5
2,I travel a ton. This has to be the worst service I have ever experienced!  Pitiful. How tough is it?,1
3,Rooms are really nice. Like nice size apartments. WiFi is not free.,3
4,Classic greasy dinner food. Try Cafe on the Strip for better Italian french toast and shorter line.,3
5,This is the place to go if you like a good frozen cocktail!\n\nIt rocks!!!,4
6,very nice seafood buffet! !!,5
7,"Yum! Burger is fantastic, and excited to try the tacos.",5
8,I think people have to think reallyreally hard to find something to complain about here.,5
9,Very slow service...Been sitting for about 45 min now and still no food. Never coming back to this location FAIL,1
10,Delicious cupcakes and friendly staff.  I will definitely be going there again!,4
11,Management has shown excellent customer service.,3
12,Service was good. Food was good. Drinks were delicious! I'll def. Be back.,4
13,Before they switched to this new owner they were a lot better.. The foods OK.  Nothing to get all excited over.,3
14,Best Mexican food ever,5
15,Great service.  Excellent television coverage.  Not so good food.  Not even the fries.,2
16,The Wicked is by far the Best sandwich I've ever put in my mouth!,5
17,Not impressed.. Expected more from Azure seeing that it is in The Palazzo (my favorite hotel),2
18,a great fried fish that I've been tried for a long time! Worth to try for sure!,4
19,this is my fave buffet in town!!  great food!!,5
20,So much fun.  Never painted before and now I have several paintings on my wall that I am quite proud of.,5
21,"Great change of pace fast food, creative hot dogs, burgers. I'm full and very satisfied.",4
22,A little treasure we found while wandering. Excellent food great drinks and wine. Everything well thought out. Loved it!,5
23,Our favorite spot :),4
24,Impeccable service. Awesome ambiance. Amazing food.,5
25,"Over priced and over rated. Soy sauce was too salty, 100% no return",2
26,Decent place and people but a little run down.,2
27,Food is consistently good.  Good Service. Great Sushi.,5
28,Love this place. The food is awesome and so is the staff. Awesome place to hang out in a relaxed atmosphere.,5
29,I love this place! The best hotdogs anywhere & I get a taste and feel of back home which is priceless!,5
30,Friday nights at the Baer's Den is a must. How can you beat $10 for all you can drink?,4
31,Great Drinks And Food and done very well for Downtown Las Vegas!!!,5
32,This restaurant is out of business. I was really disappointed!,1
33,Horrible service! We had to wait 40 minutes for the waiter to acknowledge us. The food is ok,2
34,I love this place.   I am here every Monday morning for a networking meeting and the service is amazing and great food!,5
35,Good food. But would rather try something new then go back.,5
36,Very poor customer service. The waitress barely spoke English and the manager couldn't understand our issue well enough to remedy the problem.,1
37,great price and taste,4
38,This place would be better if there was one dj who wasn't playing crap music.,3
39,Price good. Food bad. Shouldn't be too difficult for anyone else to reach those same conclusions.,2
40,"Good casual food, the tuna is good.",4
41,Nothing special here. Average tacos and below average service. If you are drunk and hungry this place might suite you.,2
42,I love this zoo and aquarium!,5
43,Poor excuse for food,1
44,Love this place!!  It kinda makes you feel like you're back home in your small town that you grew up in.,4
