,0,1
0,"Perfect haircuts every time. Seriously, I've never had a bad experience with them.",UNK
1,Such a great place to walk in and walk out with a sweet treat!  Horchata flavored Yogurt???  OMG so awesome! Love the topping bar and so satisfied every time I've visited...,UNK
2,Amazing fresh food and on the spot import deli meats and cheeses. Super amazing cheese steak. Best around. Friendly staff and all about quality!,UNK
3,I've been an SRP customer for 3 years - never had any issues. I recommend you use their budget plan; they told me the best time to sign up for that is in October.,UNK
4,This place is great clean beds and all different kinds!,UNK
5,"These sandwiches are amazing. They fill you up, they're delicious, and it's chill place to go and eat. A must try.",UNK
6,"Great, hands on museum built for kids, but adults can enjoy also!  Lots of places were  parents can sit and watch their children's imagination run wild!  We will definitely be back.",UNK
7,This is a great place for pizza and beers.  The owners and staff welcome you as you enter and make you feel right at home.  Good food from Pizza's to salads.  Some cool art work on the walls too by local artists.,UNK
8,Love love love this place!! Everyone is awesome and extremely accommodating. Always high quality service and products. Jessica is the best.,UNK
9,We always stopped at El Patron whenever we came down to Vegas from LA. They should definitely open this back up I'n the future!,UNK
10,"Super yummy!  I have only had their lunches but I hear breakfast is amazing.  I recommend the turkey jalapeno press, the Biltmore Club chicken sandwhich or the chorizo burger.  Their salads are also lovely.",UNK
11,We went out for a family brunch one Sunday. This place was great. Atmosphere was nice and the staff was amazing and friendly. The food was great too.,UNK
12,"Very much enjoyed our meals here.  The BBQ French fries are to die for!  Also love the beer taps in the tables.  Genius.  Quick, friendly and delicious!",UNK
13,"In N Out Is by far the best burger joint out there! :) very simple menu but everything is great!....this place is crowded at times but the wait isnt that long...its clean, and the staff is very fast and friendly",UNK
14,This jiffy lube is always quick and efficient! and super friendly/helpful.. thanks!,UNK
15,Best Mediterranean food I have ever eaten! Cheese gyro is amazing so is the falafel. There is no item here I don't love!,UNK
16,Best breakfast - ever. Thomas Keller + breakfast = happy.  Go for the chicken and waffles.,UNK
17,They treat us like family! We eat there often. The kids love it as much as mom and dad,UNK
18,"Update: Dental Studio 101 has moved into new diggs, and with a bigger staff my issues from before have been resolved! The service is always top notch!",UNK
19,The food was AWSOME great seasoning great scenery  and great service it's hard to find a good authentic Mexican spot but I love this one. I'd recommend it to anyone,UNK
20,Great dinner!  The service was great and the Chicken Martorano was fantastic!,UNK
21,I got the wrong store. Sprry to the owner i hit the wrong button.  Wanted to do a bad review on lelysee i apologize fully.,UNK
22,"This Gurudwara Sahib is only 10-15 minutes away from Las Vegas Strip and 5 minutes away from the airport. The head priest was really nice and offered us refreshments. There is another Sikh Temple \""Gurudwara Baba Deep Singh\"" which is 30 minutes away.",UNK
23,Our favorite Greek spot in town. Best fries on the planet!!!,UNK
24,Beautiful Pool.  Great food.  Amazing staff - from the valet guys right up to the General Manager.  They've done this right.  As nice as any pool in Vegas.  You won't be disappointed.  The facilities are awesome too. Cant say enough good stuff about this place.,UNK
25,Fantastic dentist! The entire staff is extremely nice and Dr. Houroni is top notch. I'm so thankful to have found such a great dentist in the area. I refer all my friends and family here!,UNK
